county,local_area,region_label,gics_sector,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by
Galway,Galway City,Galway / Galway City,Consumer Staples,,,,,,,,,,,
Galway,Galway City,Galway / Galway City,Health Care,,,,,,,,,,,
Galway,Galway City,Galway / Galway City,Information Technology,,,,,,,,,,,
Galway,Galway City,Galway / Galway City,Financials,,,,,,,,,,,
Galway,Salthill,Galway / Salthill,Industrials,,,,,,,,,,,
Galway,Salthill,Galway / Salthill,Consumer Discretionary,,,,,,,,,,,
Galway,Salthill,Galway / Salthill,Consumer Staples,,,,,,,,,,,
Galway,Salthill,Galway / Salthill,Health Care,,,,,,,,,,,
Galway,Salthill,Galway / Salthill,Information Technology,,,,,,,,,,,
Galway,Salthill,Galway / Salthill,Financials,,,,,,,,,,,
Galway,Oranmore,Galway / Oranmore,Consumer Discretionary,,,,,,,,,,,
Galway,Oranmore,Galway / Oranmore,Health Care,,,,,,,,,,,
Galway,Oranmore,Galway / Oranmore,Information Technology,,,,,,,,,,,
Galway,Oranmore,Galway / Oranmore,Financials,,,,,,,,,,,
Galway,Athenry,Galway / Athenry,Industrials,,,,,,,,,,,
Galway,Athenry,Galway / Athenry,Consumer Discretionary,,,,,,,,,,,
Galway,Athenry,Galway / Athenry,Consumer Staples,,,,,,,,,,,
Galway,Athenry,Galway / Athenry,Health Care,,,,,,,,,,,
Galway,Athenry,Galway / Athenry,Information Technology,,,,,,,,,,,
Galway,Athenry,Galway / Athenry,Financials,,,,,,,,,,,
Galway,Tuam,Galway / Tuam,Industrials,,,,,,,,,,,
Galway,Tuam,Galway / Tuam,Consumer Discretionary,,,,,,,,,,,
Galway,Tuam,Galway / Tuam,Consumer Staples,,,,,,,,,,,
Galway,Tuam,Galway / Tuam,Health Care,,,,,,,,,,,
Galway,Tuam,Galway / Tuam,Information Technology,,,,,,,,,,,
Galway,Tuam,Galway / Tuam,Financials,,,,,,,,,,,
Galway,Loughrea,Galway / Loughrea,Industrials,,,,,,,,,,,
Galway,Loughrea,Galway / Loughrea,Consumer Discretionary,,,,,,,,,,,
Galway,Loughrea,Galway / Loughrea,Consumer Staples,,,,,,,,,,,
Galway,Loughrea,Galway / Loughrea,Health Care,,,,,,,,,,,
Galway,Loughrea,Galway / Loughrea,Information Technology,,,,,,,,,,,
Galway,Loughrea,Galway / Loughrea,Financials,,,,,,,,,,,
Galway,Ballinasloe,Galway / Ballinasloe,Industrials,,,,,,,,,,,
Galway,Ballinasloe,Galway / Ballinasloe,Consumer Discretionary,,,,,,,,,,,
Galway,Ballinasloe,Galway / Ballinasloe,Consumer Staples,,,,,,,,,,,
Galway,Ballinasloe,Galway / Ballinasloe,Health Care,,,,,,,,,,,
Galway,Ballinasloe,Galway / Ballinasloe,Information Technology,,,,,,,,,,,
Galway,Ballinasloe,Galway / Ballinasloe,Financials,,,,,,,,,,,
Galway,Gort,Galway / Gort,Industrials,,,,,,,,,,,
Galway,Gort,Galway / Gort,Consumer Discretionary,,,,,,,,,,,
Galway,Gort,Galway / Gort,Consumer Staples,,,,,,,,,,,
Galway,Gort,Galway / Gort,Health Care,,,,,,,,,,,
Galway,Gort,Galway / Gort,Information Technology,,,,,,,,,,,
Galway,Gort,Galway / Gort,Financials,,,,,,,,,,,
Galway,Clifden / Connemara,Galway / Clifden / Connemara,Industrials,,,,,,,,,,,
Galway,Clifden / Connemara,Galway / Clifden / Connemara,Consumer Discretionary,,,,,,,,,,,
Galway,Clifden / Connemara,Galway / Clifden / Connemara,Consumer Staples,,,,,,,,,,,
Galway,Clifden / Connemara,Galway / Clifden / Connemara,Health Care,,,,,,,,,,,
Galway,Clifden / Connemara,Galway / Clifden / Connemara,Information Technology,,,,,,,,,,,
Galway,Clifden / Connemara,Galway / Clifden / Connemara,Financials,,,,,,,,,,,
Galway,Galway City,Galway / Galway City,Industrials,,,,,,,,,,,
Galway,Galway City,Galway / Galway City,Consumer Discretionary,,,,,,,,,,,
Galway,Oranmore,Galway / Oranmore,Industrials,,,,,,,,,,,
Galway,Oranmore,Galway / Oranmore,Consumer Staples,,,,,,,,,,,
