collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,acceptance_rule,recommended_source,next_action
1,galway-company-001,missing_row,Galway,Galway City,Galway / Galway City,Consumer Discretionary,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
2,galway-company-002,missing_row,Galway,Galway City,Galway / Galway City,Consumer Staples,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
3,galway-company-003,missing_row,Galway,Galway City,Galway / Galway City,Health Care,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
4,galway-company-004,missing_row,Galway,Galway City,Galway / Galway City,Information Technology,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
5,galway-company-005,missing_row,Galway,Galway City,Galway / Galway City,Financials,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
6,galway-company-006,missing_row,Galway,Salthill,Galway / Salthill,Consumer Discretionary,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
7,galway-company-007,missing_row,Galway,Salthill,Galway / Salthill,Consumer Staples,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
8,galway-company-008,missing_row,Galway,Salthill,Galway / Salthill,Health Care,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
9,galway-company-009,missing_row,Galway,Salthill,Galway / Salthill,Information Technology,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
10,galway-company-010,missing_row,Galway,Salthill,Galway / Salthill,Financials,gics_industry_group; company_count; source_note; source_url; source_date; approved_by,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,"Approve only when company_count comes from an approved CRO, backend, or company-universe source and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved company-universe export,"Run CRO companycount/address search or an approved company-universe export for the local-area baseline, then fill company_count and source approval metadata before merge."
