collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,company_number_join_key,director_export_source_id,source_note,source_url,source_date,approved_by,acceptance_rule
1,galway-company-001,missing_row,Galway,Galway City,Galway / Galway City,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
2,galway-company-002,missing_row,Galway,Galway City,Galway / Galway City,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
3,galway-company-003,missing_row,Galway,Galway City,Galway / Galway City,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
4,galway-company-004,missing_row,Galway,Galway City,Galway / Galway City,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
5,galway-company-005,missing_row,Galway,Galway City,Galway / Galway City,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
6,galway-company-006,missing_row,Galway,Salthill,Galway / Salthill,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
7,galway-company-007,missing_row,Galway,Salthill,Galway / Salthill,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
8,galway-company-008,missing_row,Galway,Salthill,Galway / Salthill,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
9,galway-company-009,missing_row,Galway,Salthill,Galway / Salthill,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
10,galway-company-010,missing_row,Galway,Salthill,Galway / Salthill,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
11,galway-company-011,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
12,galway-company-012,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
13,galway-company-013,missing_row,Galway,Oranmore,Galway / Oranmore,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
14,galway-company-014,missing_row,Galway,Oranmore,Galway / Oranmore,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
15,galway-company-015,missing_row,Galway,Oranmore,Galway / Oranmore,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
16,galway-company-016,missing_row,Galway,Athenry,Galway / Athenry,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
17,galway-company-017,missing_row,Galway,Athenry,Galway / Athenry,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
18,galway-company-018,missing_row,Galway,Athenry,Galway / Athenry,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
19,galway-company-019,missing_row,Galway,Athenry,Galway / Athenry,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
20,galway-company-020,missing_row,Galway,Athenry,Galway / Athenry,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
21,galway-company-021,missing_row,Galway,Athenry,Galway / Athenry,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
22,galway-company-022,missing_row,Galway,Tuam,Galway / Tuam,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
23,galway-company-023,missing_row,Galway,Tuam,Galway / Tuam,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
24,galway-company-024,missing_row,Galway,Tuam,Galway / Tuam,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
25,galway-company-025,missing_row,Galway,Tuam,Galway / Tuam,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
26,galway-company-026,missing_row,Galway,Tuam,Galway / Tuam,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
27,galway-company-027,missing_row,Galway,Loughrea,Galway / Loughrea,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
28,galway-company-028,missing_row,Galway,Loughrea,Galway / Loughrea,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
29,galway-company-029,missing_row,Galway,Loughrea,Galway / Loughrea,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
30,galway-company-030,missing_row,Galway,Loughrea,Galway / Loughrea,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
31,galway-company-031,missing_row,Galway,Loughrea,Galway / Loughrea,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
32,galway-company-032,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Industrials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
33,galway-company-033,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
34,galway-company-034,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
35,galway-company-035,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Health Care,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
36,galway-company-036,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Information Technology,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
37,galway-company-037,missing_row,Galway,Ballinasloe,Galway / Ballinasloe,Financials,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
38,galway-company-038,missing_row,Galway,Gort,Galway / Gort,Consumer Discretionary,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
39,galway-company-039,missing_row,Galway,Gort,Galway / Gort,Consumer Staples,,,,,,,,,,,,,,"Approve only when company_count and all five director-age threshold counts are derived from an approved director-level source joined by company number, and source_note, source_url, source_date, and approved_by are filled."
