kind,county,local_area,gics_sector,row_status,missing_fields,primary_source,primary_source_url,backup_source,backup_source_url,cro_address_count_url,cro_address_search_url,director_age_source_note,collection_action,target_output
market,Galway,,Industrials,approved,,Galway Chamber / local economic extract,https://galwaychamber.com/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Galway,,Consumer Discretionary,approved,,Galway Chamber / local economic extract,https://galwaychamber.com/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Galway,,Consumer Staples,approved,,Galway Chamber / local economic extract,https://galwaychamber.com/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Galway,,Health Care,approved,,Galway Chamber / local economic extract,https://galwaychamber.com/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Galway,,Information Technology,approved,,Galway Chamber / local economic extract,https://galwaychamber.com/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Galway,,Financials,approved,,Galway Chamber / local economic extract,https://galwaychamber.com/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Dublin,,Industrials,approved,,Dublin Chamber / local economic extract,https://www.dublinchamber.ie/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Dublin,,Consumer Discretionary,approved,,Dublin Chamber / local economic extract,https://www.dublinchamber.ie/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Dublin,,Consumer Staples,approved,,Dublin Chamber / local economic extract,https://www.dublinchamber.ie/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Dublin,,Health Care,approved,,Dublin Chamber / local economic extract,https://www.dublinchamber.ie/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Dublin,,Information Technology,approved,,Dublin Chamber / local economic extract,https://www.dublinchamber.ie/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
market,Dublin,,Financials,approved,,Dublin Chamber / local economic extract,https://www.dublinchamber.ie/,CSO Business Demography,https://www.cso.ie/en/statistics/enterprisestatistics/businessdemography/,,,,No action needed unless the source is refreshed.,approved-market-data-template.csv
company_universe,Galway,Galway City,Industrials,needs_approved_source,"director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Galway City,Consumer Discretionary,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Galway City,Consumer Staples,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Galway City,Health Care,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Galway City,Information Technology,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Galway City,Financials,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Salthill,Industrials,needs_approved_source,"director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Salthill,Consumer Discretionary,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Salthill,Consumer Staples,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Salthill,Health Care,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
company_universe,Galway,Salthill,Information Technology,missing_row,"gics_industry_group, company_count, director_50_plus_count, director_55_plus_count, director_60_plus_count, director_65_plus_count, director_70_plus_count, source_note, source_url, source_date, approved_by",CRO Open Services,https://services.cro.ie/,CRO Access to Data / Open Data Portal,https://cro.ie/services-and-help/access-to-cro-data/,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for thresholds.,Generate or collect active company counts and director-age threshold counts for this local area and sector.,approved-company-universe-template.csv
